NumerPracownika,Imie,Nazwisko,Specjalizacja
WNEWPL3228,Ewelina,Płaneta,Pilates
WNEMOP2739,Emil,Opas,Zumba
WNANGI1543,Anna Maria,Giża,Zumba
WNGUMA9099,Gustaw,Majorczyk,Siłownia
WNBOOB3978,Borys,Obarzanek,Siłownia
WNSYBU6397,Sylwia,Buczko,Yoga
WNROFR6593,Róża,Franaszek,Siłownia
WNAGTU1286,Agnieszka,Tułacz,Fitness
WNIGTE8041,Igor,Tecław,Fitness
WNIDAB6648,Ida,Abramczuk,Cross
WNMAZA6429,Marcel,Zaczyk,Fitness
WNSZDO7431,Szymon,Dorobek,Zumba
WNDASZ8155,Dagmara,Szumny,Pilates
WNANSZ3917,Anastazja,Szczot,Zumba
WNFIKA6268,Filip,Kacperek,Stretch
WNFRZU6291,Franciszek,Żurawik,Pilates
WNOLGO7351,Olaf,Golenia,Zumba
WNANJA4637,Antoni,Januszko,Cross
WNWIFE3607,Witold,Fedorczyk,Cross
WNOLKW9696,Olga,Kwapisiewicz,Cardio
WNGASZ6891,Gaja,Szaruga,Pilates
WNMARY7721,Marianna,Rybus,Cardio
WNNADU4858,Natasza,Dulas,Stretch
